0.025,0.067,0.244,0.028,0.035,0.254,0.24,0.107
0.343,0.186,0.097,0.006,0.128,0.107,0.025,0.108
0.451,0.028,0.018,0.205,0.032,0.097,0.015,0.154
0.04,0.173,0.114,0.319,0.037,0.114,0.196,0.007
0.055,0.061,0.41,0.102,0.242,0.025,0.049,0.056
0.273,0.005,0.141,0.04,0.2,0.169,0.078,0.094
0.182,0.022,0.159,0.01,0.011,0.252,0.316,0.048
0.062,0.163,0.127,0.123,0.378,0.013,0.051,0.083
0.018,0.218,0.005,0.283,0.137,0.047,0.26,0.032
0.114,0.018,0.317,0.117,0.244,0.022,0.093,0.075
0.086,0.213,0.147,0.06,0.02,0.15,0.207,0.117
0.387,0.013,0.321,0.098,0.039,0.078,0.005,0.059
0.084,0.253,0.019,0.013,0.452,0.004,0.02,0.155
0.152,0.157,0.022,0.021,0.174,0.084,0.023,0.367
0.194,0.213,0.095,0.156,0.011,0.018,0.144,0.169
0.066,0.38,0.163,0.026,0.057,0.119,0.179,0.01
0.162,0.039,0.339,0.02,0.17,0.081,0.065,0.124
0.174,0.2,0.035,0.187,0.346,0.005,0.03,0.023
0.161,0.13,0.067,0.156,0.113,0.154,0.127,0.092
0.15,0.017,0.13,0.192,0.033,0.393,0.03,0.055
0.073,0.085,0.179,0.139,0.103,0.375,0.005,0.041
0.266,0.088,0.002,0.019,0.164,0.219,0.196,0.046
0.089,0.273,0.07,0.14,0.278,0.053,0.091,0.006
0.04,0.079,0.007,0.006,0.519,0.077,0.237,0.035
0.316,0.156,0.266,0.004,0.039,0.041,0.005,0.173
0.061,0.107,0.21,0.102,0.028,0.163,0.015,0.314
0.094,0.034,0.243,0.068,0.108,0.165,0.152,0.136
0.047,0.131,0.164,0.255,0.036,0.245,0.054,0.068
0.093,0.087,0.055,0.291,0.057,0.045,0.349,0.023
0.075,0.027,0.205,0.089,0.095,0.134,0.17,0.205
0.077,0.129,0.34,0.07,0.176,0.185,0.017,0.006
0.238,0.166,0.078,0.083,0.054,0.116,0.202,0.063
0.081,0.174,0.038,0.289,0.058,0.311,0.02,0.029
0.082,0.154,0.03,0.076,0.353,0.248,0.018,0.039
0.075,0.009,0.132,0.008,0.259,0.405,0.08,0.032
0.452,0.162,0.166,0.043,0.043,0.075,0.037,0.022
0.151,0.096,0.01,0.298,0.021,0.133,0.025,0.266
0.214,0.059,0.227,0.077,0.222,0.037,0.11,0.054
0.088,0.183,0.07,0.035,0.048,0.305,0.23,0.041
0.03,0.079,0.021,0.177,0.06,0.126,0.357,0.15
0.058,0.073,0.095,0.178,0.144,0.032,0.019,0.401
0.076,0.128,0.138,0.258,0.269,0.098,0.03,0.003
0.022,0.037,0.074,0.056,0.131,0.294,0.037,0.349
0.008,0.333,0.123,0.108,0.064,0.287,0.01,0.067
0.115,0.031,0.166,0.39,0.074,0.182,0.02,0.022
0.211,0.054,0.186,0.076,0.37,0.067,0.024,0.012
0.028,0.114,0.355,0.031,0.077,0.13,0.111,0.154
0.031,0.179,0.191,0.092,0.321,0.031,0.086,0.069
0.365,0.266,0.026,0.247,0.001,0.002,0.088,0.005
0.178,0.093,0.01,0.163,0.039,0.238,0.206,0.073
