0.002,0.159,0.113,0.042,0.105,0.193,0.386
0.01,0.377,0.082,0.136,0.009,0.272,0.114
0.153,0.115,0.095,0.112,0.023,0.04,0.462
0.145,0.353,0.027,0.012,0.054,0.031,0.378
0.112,0.48,0.012,0.041,0.178,0.03,0.147
0.067,0.314,0.176,0.123,0.244,0.07,0.006
0.251,0.111,0.099,0.064,0.149,0.014,0.312
0.055,0.483,0.272,0.006,0.01,0.047,0.127
0.026,0.302,0.107,0.093,0.035,0.422,0.015
0.012,0.048,0.054,0.503,0.01,0.157,0.216
0.016,0.26,0.407,0.019,0.013,0.115,0.17
0.06,0.109,0.081,0.153,0.145,0.353,0.099
0.116,0.191,0.059,0.089,0.273,0.222,0.05
0.13,0.207,0.197,0.073,0.251,0.099,0.043
0.035,0.091,0.08,0.082,0.142,0.083,0.487
0.087,0.018,0.004,0.15,0.227,0.329,0.185
0.415,0.061,0.002,0.172,0.03,0.142,0.178
0.052,0.02,0.05,0.218,0.554,0.071,0.035
0.153,0.147,0.148,0.271,0.041,0.016,0.224
0.203,0.24,0.023,0.064,0.121,0.286,0.063
0.044,0.01,0.021,0.431,0.018,0.289,0.187
0.012,0.012,0.11,0.144,0.334,0.377,0.011
0.07,0.042,0.173,0.145,0.115,0.354,0.101
0.021,0.425,0.053,0.259,0.198,0.037,0.007
0.381,0.074,0.141,0.156,0.005,0.113,0.13
0.404,0.077,0.008,0.304,0.047,0.015,0.145
0.102,0.054,0.224,0.251,0.027,0.098,0.244
0.379,0.044,0.01,0.098,0.083,0.384,0.002
0.076,0.063,0.152,0.1,0.086,0.432,0.091
0.056,0.333,0.107,0.035,0.366,0.085,0.018
0.087,0.022,0.104,0.122,0.139,0.107,0.419
0.239,0.081,0.013,0.076,0.548,0.029,0.014
0.096,0.004,0.061,0.479,0.191,0.016,0.153
0.285,0.017,0.458,0.13,0.08,0.004,0.026
0.073,0.395,0.167,0.05,0.234,0.017,0.064
0.063,0.347,0.174,0.115,0.106,0.032,0.163
0.011,0.32,0.054,0.001,0.117,0.443,0.054
0.136,0.103,0.161,0.017,0.163,0.097,0.323
0.283,0.046,0.007,0.363,0.003,0.108,0.19
0.05,0.297,0.005,0.401,0.135,0.038,0.074
0.064,0.003,0.075,0.263,0.106,0.471,0.018
0.027,0.16,0.088,0.571,0.127,0.01,0.017
0.036,0.152,0.218,0.117,0.106,0.218,0.153
0.149,0.235,0.165,0.019,0.028,0.113,0.291
0.334,0.081,0.07,0.115,0.198,0.184,0.018
0.462,0.088,0.14,0.006,0.078,0.142,0.084
0.175,0.437,0.304,0.024,0.017,0.032,0.011
0.03,0.038,0.225,0.113,0.211,0.115,0.268
0.007,0.211,0.128,0.046,0.208,0.194,0.206
0.102,0.087,0.215,0.247,0.138,0.027,0.184
0.005,0.015,0.164,0.003,0.64,0.123,0.05
0.207,0.325,0.028,0.115,0.186,0.12,0.019
0.434,0.187,0.029,0.066,0.037,0.093,0.154
0.302,0.196,0.058,0.24,0.063,0.092,0.049
0.165,0.014,0.05,0.363,0.257,0.071,0.08
0.117,0.025,0.114,0.136,0.294,0.046,0.268
0.073,0.093,0.072,0.246,0.006,0.385,0.125
0.127,0.168,0.415,0.207,0.047,0.001,0.035
0.188,0.154,0.076,0.056,0.278,0.231,0.017
0.177,0.07,0.438,0.002,0.087,0.147,0.079
0.104,0.104,0.059,0.362,0.233,0.103,0.035
0.124,0.096,0.002,0.033,0.569,0.157,0.019
0.041,0.088,0.221,0.579,0.058,0.008,0.005
0.064,0.149,0.094,0.107,0.327,0.043,0.216
0.014,0.076,0.067,0.501,0.076,0.204,0.062
0.192,0.337,0.032,0.072,0.232,0.003,0.132
0.009,0.054,0.055,0.112,0.259,0.324,0.187
0.031,0.089,0.083,0.27,0.287,0.232,0.008
0.015,0.075,0.119,0.037,0.14,0.134,0.48
0.195,0.183,0.055,0.069,0.089,0.156,0.253
0.068,0.138,0.039,0.081,0.275,0.072,0.327
0.348,0.076,0.404,0.053,0.045,0.063,0.011
0.469,0.061,0.001,0.034,0.093,0.269,0.073
0.076,0.049,0.056,0.604,0.005,0.023,0.187
0.028,0.053,0.114,0.01,0.662,0.095,0.038
0.121,0.119,0.351,0.133,0.047,0.113,0.116
0.233,0.014,0.018,0.029,0.257,0.011,0.438
0.087,0.322,0.001,0.066,0.033,0.32,0.171
0.2,0.252,0.096,0.138,0.045,0.092,0.177
0.02,0.005,0.304,0.035,0.21,0.228,0.198
0.452,0.047,0.012,0.253,0.001,0.231,0.004
0.295,0.012,0.052,0.024,0.092,0.24,0.285
0.095,0.095,0.347,0.046,0.058,0.151,0.208
0.097,0.323,0.074,0.043,0.14,0.081,0.242
0.117,0.151,0.265,0.282,0.02,0.122,0.043
0.383,0.028,0.393,0.027,0.023,0.144,0.002
0.053,0.128,0.049,0.137,0.097,0.208,0.328
0.056,0.138,0.106,0.359,0.048,0.22,0.073
0.059,0.157,0.197,0.065,0.066,0.061,0.395
0.413,0.138,0.111,0.053,0.003,0.278,0.004
0.062,0.046,0.144,0.115,0.206,0.324,0.103
0.056,0.222,0.236,0.237,0.025,0.161,0.063
0.149,0.022,0.127,0.086,0.34,0.057,0.219
0.148,0.03,0.644,0.026,0.099,0.014,0.039
0.038,0.3,0.437,0.015,0.178,0.005,0.027
0.033,0.357,0.243,0.025,0.021,0.236,0.085
0.1,0.374,0.12,0.117,0.133,0.122,0.034
0.081,0.251,0.505,0.071,0.001,0.039,0.052
0.006,0.038,0.125,0.353,0.032,0.013,0.433
0.345,0.067,0.275,0.142,0.044,0.006,0.121
